gameDateTimeEst,homeTricode,awayTricode,arenaState,arenaCity,ArenaStateCity,Latitude,Longitude,prev_latitude,prev_longitude,distance_miles
2004-10-23 19:30:00,ATL,ATL,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,,,
2024-10-23 19:30:00,ATL,BKN,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,33.748752,-84.3876845,0
2024-10-25 19:30:00,ATL,CHA,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,33.748752,-84.3876845,0
2024-10-27 19:00:00,OKC,ATL,OK,Oklahoma City,"Oklahoma City, OK",35.4675602,-97.5164276,33.748752,-84.3876845,756.2455929
2024-10-28 19:30:00,ATL,WAS,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,35.4675602,-97.5164276,756.2455929
2024-10-30 19:00:00,WAS,ATL,DC,Washington,"Washington, DC",38.9071923,-77.0368707,33.748752,-84.3876845,542.9001705
2024-11-01 19:30:00,ATL,SAC,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,38.9071923,-77.0368707,542.9001705
2024-11-03 19:00:00,NOP,ATL,LA,New Orleans,"New Orleans, LA",29.9510658,-90.0715323,33.748752,-84.3876845,424.760776
2024-11-04 19:45:00,ATL,BOS,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,29.9510658,-90.0715323,424.760776
2024-11-06 19:30:00,ATL,NYK,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,33.748752,-84.3876845,0
2024-11-08 19:00:00,DET,ATL,MI,Detroit,"Detroit, MI",42.331427,-83.0457538,33.748752,-84.3876845,598.1316995
2024-11-09 19:30:00,ATL,CHI,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,42.331427,-83.0457538,598.1316995
2024-11-12 19:00:00,BOS,ATL,MA,Boston,"Boston, MA",42.3600825,-71.0588801,33.748752,-84.3876845,937.0819826
2024-11-15 19:30:00,ATL,WAS,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,42.3600825,-71.0588801,937.0819826
2024-11-17 18:00:00,POR,ATL,OR,Portland,"Portland, OR",45.515232,-122.6783853,33.748752,-84.3876845,2171.22267
2024-11-18 22:00:00,SAC,ATL,CA,Sacramento,"Sacramento, CA",38.5815719,-121.4943996,45.515232,-122.6783853,483.4317287
2024-11-20 22:00:00,GSW,ATL,CA,San Francisco,"San Francisco, CA",37.7749295,-122.4194155,38.5815719,-121.4943996,75.11926604
2024-11-22 20:00:00,CHI,ATL,IL,Chicago,"Chicago, IL",41.8781136,-87.6297982,37.7749295,-122.4194155,1856.818134
2024-11-25 19:30:00,ATL,DAL,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,41.8781136,-87.6297982,589.4368032
2024-11-27 19:00:00,CLE,ATL,OH,Cleveland,"Cleveland, OH",41.49932,-81.6943605,33.748752,-84.3876845,555.9645826
2024-11-29 14:30:00,ATL,CLE,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,41.49932,-81.6943605,555.9645826
2024-11-30 18:00:00,CHA,ATL,NC,Charlotte,"Charlotte, NC",35.2270869,-80.8431267,33.748752,-84.3876845,226.4660083
2024-12-02 19:30:00,ATL,NOP,GA,Atlanta,"Atlanta, GA",33.748752,-84.3876845,35.2270869,-80.8431267,226.4660083
