PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Irving, Kyrie",Out,Not With Team,Brooklyn Nets,BKN@MIL,10/19/2021
"DiVincenzo, Donte",Out,Injury/Illness - Left Ankle; Reconstruction Surgery,Milwaukee Bucks,BKN@MIL,10/19/2021
"Hood, Rodney",Out,Injury/Illness - Right Foot; Soreness,Milwaukee Bucks,BKN@MIL,10/19/2021
"Ojeleye, Semi",Out,Injury/Illness - Left Calf; Strain,Milwaukee Bucks,BKN@MIL,10/19/2021
"Portis, Bobby",Out,Injury/Illness - Left Hamstring; Strain,Milwaukee Bucks,BKN@MIL,10/19/2021
"Dowtin, Jeff",Out,Not With Team,Golden State Warriors,GSW@LAL,10/19/2021
"Kuminga, Jonathan",Out,Injury/Illness - Right Knee; Patellar Tendon Strain,Golden State Warriors,GSW@LAL,10/19/2021
"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Repair,Golden State Warriors,GSW@LAL,10/19/2021
"Wiseman, James",Out,Injury/Illness - Right Knee; Meniscus Tear,Golden State Warriors,GSW@LAL,10/19/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury Recovery,Los Angeles Lakers,GSW@LAL,10/19/2021
"Ellington, Wayne",Out,Injury/Illness - Left Hamstring; Strain,Los Angeles Lakers,GSW@LAL,10/19/2021
"Horton-Tucker, Talen",Out,Injury/Illness - Right Thumb; Injury Recovery,Los Angeles Lakers,GSW@LAL,10/19/2021
"Monk, Malik",Probable,Injury/Illness - Right Groin; Strain,Los Angeles Lakers,GSW@LAL,10/19/2021
"Nunn, Kendrick",Questionable,Injury/Illness - Right Ankle; Sprain,Los Angeles Lakers,GSW@LAL,10/19/2021
"Brown Jr., Troy",Available,-,Chicago Bulls,CHI@DET,10/20/2021
"White, Coby",Out,Injury/Illness - Left Shoulder; Injury Management,Chicago Bulls,CHI@DET,10/20/2021
"Cunningham, Cade",Out,Injury/Illness - Right Ankle; Sprain,Detroit Pistons,CHI@DET,10/20/2021
"Livers, Isaiah",Out,Injury/Illness - Right Foot; Injury recovery,Detroit Pistons,CHI@DET,10/20/2021
"Smith, Chris",Out,Injury/Illness - Left Knee; Injury recovery,Detroit Pistons,CHI@DET,10/20/2021
"Bridges, Miles",Probable,Injury/Illness - Right Knee; Discomfort,Charlotte Hornets,IND@CHA,10/20/2021
"Rozier, Terry",Questionable,Injury/Illness - Left Ankle; Sprain,Charlotte Hornets,IND@CHA,10/20/2021
"Brogdon, Malcolm",Probable,"Injury/Illness - Left AC; Sprain, Grade 1",Indiana Pacers,IND@CHA,10/20/2021
"Holiday, Justin",Questionable,Injury/Illness - Left Ankle; Sprain,Indiana Pacers,IND@CHA,10/20/2021
"Lamb, Jeremy",Questionable,Injury/Illness - Right Wrist; Sore,Indiana Pacers,IND@CHA,10/20/2021
"LeVert, Caris",Out,Injury/Illness - Back; Sore Lower,Indiana Pacers,IND@CHA,10/20/2021
"Martin, Kelan",Out,Injury/Illness - Left Hamstring; Strain,Indiana Pacers,IND@CHA,10/20/2021
"Warren, T.J.",Out,Injury/Illness - Left Navicular; Fracture,Indiana Pacers,IND@CHA,10/20/2021
"Brown, Jaylen",Questionable,Return to Competition Reconditioning,Boston Celtics,BOS@NYK,10/20/2021
"Horford, Al",Out,Health and Safety Protocols,Boston Celtics,BOS@NYK,10/20/2021
"Noel, Nerlens",Doubtful,Injury/Illness - Left Knee; sore,New York Knicks,BOS@NYK,10/20/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,BOS@NYK,10/20/2021
