PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Achiuwa, Precious",Out,Injury/Illness - Left Hamstring; Strained,New York Knicks,NYK@BOS,10/22/2024
"McCullar Jr., Kevin",Out,G League - Two-Way,New York Knicks,NYK@BOS,10/22/2024
"Robinson, Mitchell",Out,Injury/Illness - Left Ankle; Surgery,New York Knicks,NYK@BOS,10/22/2024
"Porzingis, Kristaps",Out,Injury/Illness - Left Posterior Tibialis Tendon; Surgery Rehabilitation,Boston Celtics,NYK@BOS,10/22/2024
"Koloko, Christian",Out,Return to Competition Reconditioning,Los Angeles Lakers,MIN@LAL,10/22/2024
"Vanderbilt, Jarred",Out,Injury/Illness - Right Foot; Injury Recovery,Los Angeles Lakers,MIN@LAL,10/22/2024
"Wood, Christian",Out,Injury/Illness - Right Knee; Injury Recovery,Los Angeles Lakers,MIN@LAL,10/22/2024
"Freeman, Enrique",Questionable,G League - Two-Way,Indiana Pacers,IND@DET,10/23/2024
"Jackson, Isaiah",Questionable,Injury/Illness - Right Groin; Strain,Indiana Pacers,IND@DET,10/23/2024
"Jackson, Quenton",Questionable,G League - Two-Way,Indiana Pacers,IND@DET,10/23/2024
"Newton, Tristen",Questionable,G League - Two-Way,Indiana Pacers,IND@DET,10/23/2024
"Hardaway Jr., Tim",Probable,Injury/Illness - Right Low Back; Spasms,Detroit Pistons,IND@DET,10/23/2024
"Klintman, Bobi",Out,Injury/Illness - Right Calf; Contusion,Detroit Pistons,IND@DET,10/23/2024
"Thompson, Ausar",Out,Return to Competition Reconditioning,Detroit Pistons,IND@DET,10/23/2024
"Bogdanovic, Bojan",Out,Injury/Illness - Left Foot; Injury Recovery,Brooklyn Nets,BKN@ATL,10/23/2024
"Sharpe, Day'Ron",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@ATL,10/23/2024
"Watford, Trendon",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@ATL,10/23/2024
"Barlow, Dominick",Out,Injury/Illness - Low Back; Contusion,Atlanta Hawks,BKN@ATL,10/23/2024
"Bufkin, Kobe",Out,Injury/Illness - Right Shoulder; Injury,Atlanta Hawks,BKN@ATL,10/23/2024
"Lundy, Seth",Out,Injury/Illness - Left Ankle; Sprain,Atlanta Hawks,BKN@ATL,10/23/2024
"Zeller, Cody",Out,Not With Team,Atlanta Hawks,BKN@ATL,10/23/2024
"Bates, Emoni",Out,G League - Two-Way,Cleveland Cavaliers,CLE@TOR,10/23/2024
"Strus, Max",Out,Injury/Illness - Right Ankle; Sprain,Cleveland Cavaliers,CLE@TOR,10/23/2024
"Thor, JT",Out,G League - Two-Way,Cleveland Cavaliers,CLE@TOR,10/23/2024
"Travers, Luke",Out,G League - Two-Way,Cleveland Cavaliers,CLE@TOR,10/23/2024
"Barrett, RJ",Out,Injury/Illness - Right Shoulder; AC Joint; Sprain,Toronto Raptors,CLE@TOR,10/23/2024
"Brown, Bruce",Out,Injury/Illness - Right knee; Knee; Arthroscopic Surgical Procedure,Toronto Raptors,CLE@TOR,10/23/2024
"Olynyk, Kelly",Out,Injury/Illness - Back; Lumbar; Strain,Toronto Raptors,CLE@TOR,10/23/2024
"Walter, Ja'Kobe",Out,Injury/Illness - Right Shoulder; AC Joint; Sprain,Toronto Raptors,CLE@TOR,10/23/2024
